"02";"PRESUPUESTO DE INGRESOS Y TESORERÍA";"";"";"";"";"";"";"";""
"020406";"OTRAS PARTICIPACIONES DEL SISTEMA GENERAL";"021806";"OTRAS PARTICIPACIONES DEL SISTEMA GENERAL";"022606";"OTRAS PARTICIPACIONES DEL SISTEMA GENERAL";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020407";"SISTEMA GENERAL DE PARTICIPACIONES - MUNICIPIOS LIMÍTROFES DEL RÍO GRANDE DE LA MAGDALENA";"021807";"SISTEMA GENERAL DE PARTICIPACIONES - MUNICIPIOS LIMÍTROFES DEL RÍO GRANDE DE LA MAGDALENA";"022607";"SISTEMA GENERAL DE PARTICIPACIONES - MUNICIPIOS LIMÍTROFES DEL RÍO GRANDE DE LA MAGDALENA";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020408";"SISTEMA GENERAL DE PARTICIPACIONES - PROGRAMA ALIMENTACIÓN ESCOLAR";"021808";"SISTEMA GENERAL DE PARTICIPACIONES - PROGRAMA ALIMENTACIÓN ESCOLAR";"022608";"SISTEMA GENERAL DE PARTICIPACIONES - PROGRAMA ALIMENTACIÓN ESCOLAR";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020409";"RECURSOS DE COFINANCIACIÓN";"021809";"RECURSOS DE COFINANCIACIÓN";"022609";"RECURSOS DE COFINANCIACIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020410";"FONDO NACIONAL DE REGALÍAS";"021810";"FONDO NACIONAL DE REGALÍAS";"022610";"FONDO NACIONAL DE REGALÍAS";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020411";"TRANSFERENCIAS LEY 12/86";"021811";"TRANSFERENCIAS LEY 12/86";"022611";"TRANSFERENCIAS LEY 12/86";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020412";"PARTICIPACIÓN LEY 1ª/72";"021812";"PARTICIPACIÓN LEY 1ª/72";"022612";"PARTICIPACIÓN LEY 1ª DE 1972";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020413";"TRANSFERENCIAS PRESTACIONES SOCIALES PENSIONES";"021813";"TRANSFERENCIAS PRESTACIONES SOCIALES PENSIONES";"022613";"TRANSFERENCIAS PRESTACIONES SOCIALES PENSIONES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020414";"TRANSFERENCIAS - EMPRESA TERRITORIAL PARA LA SALUD, ETESA - LIBRE ASIGNACIÓN";"021814";"TRANSFERENCIAS - EMPRESA TERRITORIAL PARA LA SALUD, ETESA - LIBRE ASIGNACIÓN";"022614";"TRANSFERENCIAS - EMPRESA TERRITORIAL PARA LA SALUD, ETESA - LIBRE ASIGNACIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020415";"TRANSFERENCIAS - EMPRESA TERRITORIAL PARA LA SALUD, ETESA - FORZOSA INVERSIÓN";"021815";"TRANSFERENCIAS - EMPRESA TERRITORIAL PARA LA SALUD, ETESA - FORZOSA INVERSIÓN";"022615";"TRANSFERENCIAS - EMPRESA TERRITORIAL PARA LA SALUD, ETESA - FORZOSA INVERSIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020416";"TRANSFERENCIAS - FONDO DE SOLIDARIDAD Y GARANTÍA, FOSYGA";"021816";"TRANSFERENCIAS - FONDO DE SOLIDARIDAD Y GARANTÍA, FOSYGA";"022616";"TRANSFERENCIAS - FONDO DE SOLIDARIDAD Y GARANTÍA, FOSYGA";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020417";"TRANSFERENCIAS DEPARTAMENTALES - VEHÍCULO AUTOMOTOR";"021817";"TRANSFERENCIAS DEPARTAMENTALES - VEHÍCULO AUTOMOTOR";"022617";"TRANSFERENCIAS DEPARTAMENTALES - VEHÍCULO AUTOMOTOR";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020418";"TRANSFERENCIAS - DEGÜELLO GANADO MAYOR";"021818";"TRANSFERENCIAS - DEGÜELLO GANADO MAYOR";"022618";"TRANSFERENCIAS - DEGÜELLO GANADO MAYOR";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020419";"TRANSFERENCIAS - OTROS IMPUESTOS";"021819";"TRANSFERENCIAS - OTROS IMPUESTOS";"022619";"TRANSFERENCIAS - OTROS IMPUESTOS";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020420";"TRANSFERENCIA DEL SECTOR ELÉCTRICO - LIBRE ASIGNACIÓN";"021820";"TRANSFERENCIA DEL SECTOR ELÉCTRICO - LIBRE ASIGNACIÓN";"022620";"TRANSFERENCIA DEL SECTOR ELÉCTRICO - LIBRE ASIGNACIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020421";"TRANSFERENCIA DEL SECTOR ELÉCTRICO - FORZOSA INVERSIÓN";"021821";"TRANSFERENCIA DEL SECTOR ELÉCTRICO - FORZOSA INVERSIÓN";"022621";"TRANSFERENCIA DEL SECTOR ELÉCTRICO - FORZOSA INVERSIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020422";"TRANSFERENCIA ESP SUBSIDIOS PARA SERVICIOS PÚBLICOS";"021822";"TRANSFERENCIA ESP SUBSIDIOS PARA SERVICIOS PÚBLICOS";"022622";"TRANSFERENCIA ESP SUBSIDIOS PARA SERVICIOS PÚBLICOS";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020423";"APORTES RECIBIDOS DE GOBIERNO NACIONALES";"021823";"APORTES RECIBIDOS DE GOBIERNO NACIONALES";"022623";"APORTES RECIBIDOS DE GOBIERNO NACIONALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020424";"APORTES RECIBIDOS DE GOBIERNO DEPARTAMENTALES";"021824";"APORTES RECIBIDOS DE GOBIERNO DEPARTAMENTALES";"022624";"APORTES RECIBIDOS DE GOBIERNO DEPARTAMENTALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020425";"APORTES RECIBIDOS DE GOBIERNO DISTRITALES";"021825";"APORTES RECIBIDOS DE GOBIERNO DISTRITALES";"022625";"APORTES RECIBIDOS DE GOBIERNO DISTRITALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020426";"APORTES RECIBIDOS DE GOBIERNO MUNICIPALES";"021826";"APORTES RECIBIDOS DE GOBIERNO MUNICIPALES";"022626";"APORTES RECIBIDOS DE GOBIERNO MUNICIPALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020427";"CUOTA DE FISCALIZACIÓN Y AUDITAJE";"021827";"CUOTA DE FISCALIZACIÓN Y AUDITAJE";"022627";"CUOTA DE FISCALIZACIÓN Y AUDITAJE";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020428";"FONDO SUBSIDIO SOBRETASA A LA GASOLINA";"021828";"FONDO SUBSIDIO SOBRETASA A LA GASOLINA";"022628";"FONDO SUBSIDIO SOBRETASA A LA GASOLINA";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020429";"TRANSFERENCIAS MINISTERIO DEL INTERIOR Y DE JUSTICIA";"021829";"TRANSFERENCIAS MINISTERIO DEL INTERIOR Y DE JUSTICIA";"022629";"TRANSFERENCIAS MINISTERIO DEL INTERIOR Y DE JUSTICIA";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020430";"CANCELACIÓN PRESTACIONES DEL MAGISTERIO";"021830";"CANCELACIÓN PRESTACIONES DEL MAGISTERIO";"022630";"CANCELACIÓN PRESTACIONES DEL MAGISTERIO";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020431";"TRANSFERENCIAS MUNICIPALES Y/O DISTRITALES";"021831";"TRANSFERENCIAS MUNICIPALES Y/O DISTRITALES";"022631";"TRANSFERENCIAS MUNICIPALES Y/O DISTRITALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020432";"APORTES DE SEGURIDAD SOCIAL";"021832";"APORTES DE SEGURIDAD SOCIAL";"022632";"APORTES DE SEGURIDAD SOCIAL";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020433";"SISTEMA GENERAL DE PARTICIPACIONES - AGUA POTABLE Y SANEAMIENTO BÁSICO";"021833";"SISTEMA GENERAL DE PARTICIPACIONES - AGUA POTABLE Y SANEAMIENTO BÁSICO";"022633";"SISTEMA GENERAL DE PARTICIPACIONES - AGUA POTABLE Y SANEAMIENTO BÁSICO";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020434";"ATENCIÓN INTEGRAL DE LA PRIMERA INFANCIA";"021834";"ATENCIÓN INTEGRAL DE LA PRIMERA INFANCIA";"022634";"ATENCIÓN INTEGRAL DE LA PRIMERA INFANCIA";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020490";"OTRAS TRANSFERENCIAS NACIONALES";"021890";"OTRAS TRANSFERENCIAS NACIONALES";"022690";"OTRAS TRANSFERENCIAS NACIONALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020491";"OTRAS TRANSFERENCIAS DEPARTAMENTALES";"021891";"OTRAS TRANSFERENCIAS DEPARTAMENTALES";"022691";"OTRAS TRANSFERENCIAS DEPARTAMENTALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020492";"OTRAS TRANSFERENCIAS DISTRITALES";"021892";"OTRAS TRANSFERENCIAS DISTRITALES";"022692";"OTRAS TRANSFERENCIAS DISTRITALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020493";"OTRAS TRANSFERENCIAS MUNICIPALES";"021893";"OTRAS TRANSFERENCIAS MUNICIPALES";"022693";"OTRAS TRANSFERENCIAS MUNICIPALES";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"0207";"RECURSOS DE CAPITAL APROBADOS (DB)";"0219";"RECURSOS DE CAPITAL POR EJECUTAR (CR)";"0227";"RECAUDOS EN EFECTIVO POR RECURSOS DE CAPITAL (CR)";"0231";"EJECUCIÓN EN TÍTULOS, BIENES, COMPENSACIONES Y OTROS  (CR)";"";""
"020701";"CRÉDITO INTERNO - EMISIÓN TES";"021901";"CRÉDITO INTERNO - EMISIÓN TES";"022701";"CRÉDITO INTERNO - EMISIÓN TES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020702";"CRÉDITO INTERNO - EMISIÓN OTROS TÍTULOS DE DEUDA PÚBLICA";"021902";"CRÉDITO INTERNO - EMISIÓN OTROS TÍTULOS DE DEUDA PÚBLICA";"022702";"CRÉDITO INTERNO - EMISIÓN OTROS TÍTULOS DE DEUDA PÚBLICA";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020703";"CRÉDITO INTERNO - BANCA COMERCIAL";"021903";"CRÉDITO INTERNO - BANCA COMERCIAL";"022703";"CRÉDITO INTERNO - BANCA COMERCIAL";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020704";"CRÉDITO INTERNO -  PROVEEDORES";"021904";"CRÉDITO INTERNO -  PROVEEDORES";"022704";"CRÉDITO INTERNO -  PROVEEDORES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020705";"CRÉDITO INTERNO - FONADE";"021905";"CRÉDITO INTERNO - FONADE";"022705";"CRÉDITO INTERNO - FONADE";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020706";"CRÉDITO INTERNO - FINDETER";"021906";"CRÉDITO INTERNO - FINDETER";"022706";"CRÉDITO INTERNO - FINDETER";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020707";"CRÉDITO INTERNO - INSTITUTOS FINANCIEROS TERRITORIALES - INFIS";"021907";"CRÉDITO INTERNO - INSTITUTOS FINANCIEROS TERRITORIALES - INFIS";"022707";"CRÉDITO INTERNO - INSTITUTOS FINANCIEROS TERRITORIALES - INFIS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020708";"CRÉDITO INTERNO - OTRAS ENTIDADES FINANCIERAS";"021908";"CRÉDITO INTERNO - OTRAS ENTIDADES FINANCIERAS";"022708";"CRÉDITO INTERNO - OTRAS ENTIDADES FINANCIERAS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020709";"CRÉDITO EXTERNO - EMISIÓN BONOS";"021909";"CRÉDITO EXTERNO - EMISIÓN BONOS";"022709";"CRÉDITO EXTERNO - EMISIÓN BONOS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020710";"CRÉDITO EXTERNO - BANCA MULTILATERAL";"021910";"CRÉDITO EXTERNO - BANCA MULTILATERAL";"022710";"CRÉDITO EXTERNO - BANCA MULTILATERAL";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020711";"CRÉDITO EXTERNO - GOBIERNO";"021911";"CRÉDITO EXTERNO - GOBIERNO";"022711";"CRÉDITO EXTERNO - GOBIERNO";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020712";"CRÉDITO EXTERNO - PROVEEDORES";"021912";"CRÉDITO EXTERNO - PROVEEDORES";"022712";"CRÉDITO EXTERNO - PROVEEDORES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020713";"CRÉDITO EXTERNO - OTRAS ENTIDADES FINANCIERAS";"021913";"CRÉDITO EXTERNO - OTRAS ENTIDADES FINANCIERAS";"022713";"CRÉDITO EXTERNO - OTRAS ENTIDADES FINANCIERAS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020714";"DONACIONES";"021914";"DONACIONES";"022714";"DONACIONES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020715";"DIFERENCIAL CAMBIARIO";"021915";"DIFERENCIAL CAMBIARIO";"022715";"DIFERENCIAL CAMBIARIO";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020716";"EXCEDENTES FINANCIEROS";"021916";"EXCEDENTES FINANCIEROS";"022716";"EXCEDENTES FINANCIEROS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020717";"RENDIMIENTOS OPERACIONES FINANCIERAS - TES";"021917";"RENDIMIENTOS OPERACIONES FINANCIERAS - TES";"022717";"RENDIMIENTOS OPERACIONES FINANCIERAS - TES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020718";"RENDIMIENTOS OPERACIONES FINANCIERAS - OTROS TÍTULOS";"021918";"RENDIMIENTOS OPERACIONES FINANCIERAS - OTROS TÍTULOS";"022718";"RENDIMIENTOS OPERACIONES FINANCIERAS - OTROS TÍTULOS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020719";"RENDIMIENTOS FINANCIEROS - RECURSOS LIBRE ASIGNACIÓN";"021919";"RENDIMIENTOS FINANCIEROS - RECURSOS LIBRE ASIGNACIÓN";"022719";"RENDIMIENTOS FINANCIEROS - RECURSOS LIBRE ASIGNACIÓN";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020720";"RENDIMIENTOS FINANCIEROS - RECURSOS FORZOSA INVERSIÓN";"021920";"RENDIMIENTOS FINANCIEROS - RECURSOS FORZOSA INVERSIÓN";"022720";"RENDIMIENTOS FINANCIEROS - RECURSOS FORZOSA INVERSIÓN";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020721";"PRÉSTAMOS GUBERNAMENTALES RECIBIDOS DEL GOBIERNO GENERAL NACIONAL.";"021921";"PRÉSTAMOS GUBERNAMENTALES RECIBIDOS DEL GOBIERNO GENERAL NACIONAL.";"022721";"PRÉSTAMOS GUBERNAMENTALES RECIBIDOS DEL GOBIERNO GENERAL NACIONAL.";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020722";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS NACIONALES";"021922";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS NACIONALES";"022722";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS NACIONALES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020723";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL DEPARTAMENTAL";"021923";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL DEPARTAMENTAL";"022723";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL DEPARTAMENTAL";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020724";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS DEPARTAMENTALES";"021924";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS DEPARTAMENTALES";"022724";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS DEPARTAMENTALES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020725";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL DISTRITAL";"021925";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL DISTRITAL";"022725";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL DISTRITAL";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020726";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS DISTRITALES";"021926";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS DISTRITALES";"022726";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS DISTRITALES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020727";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL MUNICIPAL";"021927";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL MUNICIPAL";"022727";"PRÉSTAMOS RECIBIDOS DEL GOBIERNO GENERAL MUNICIPAL";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020728";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS MUNICIPALES";"021928";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS MUNICIPALES";"022728";"PRÉSTAMOS RECIBIDOS DE EMPRESAS NO FINANCIERAS MUNICIPALES";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020729";"INGRESOS POR TITULARIZACIÓN";"021929";"INGRESOS POR TITULARIZACIÓN";"022729";"INGRESOS POR TITULARIZACIÓN";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020731";"UTILIDADES DE EMPRESAS";"021931";"UTILIDADES DE EMPRESAS";"022731";"UTILIDADES DE EMPRESAS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020733";"VENTA DE ACTIVOS FINANCIEROS";"021933";"VENTA DE ACTIVOS FINANCIEROS";"022733";"VENTA DE ACTIVOS FINANCIEROS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020734";"VENTA DE ACTIVOS NO FINANCIEROS AL SECTOR PÚBLICO";"021934";"VENTA DE ACTIVOS NO FINANCIEROS AL SECTOR PÚBLICO";"022734";"VENTA DE ACTIVOS NO FINANCIEROS AL SECTOR PÚBLICO";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020735";"VENTA DE ACTIVOS NO FINANCIEROS AL SECTOR PRIVADO";"021935";"VENTA DE ACTIVOS NO FINANCIEROS AL SECTOR PRIVADO";"022735";"VENTA DE ACTIVOS NO FINANCIEROS AL SECTOR PRIVADO";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020736";"REDUCCIÓN CAPITAL EMPRESAS";"021936";"REDUCCIÓN CAPITAL EMPRESAS";"022736";"REDUCCIÓN CAPITAL EMPRESAS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020737";"RECUPERACIÓN DE CARTERA";"021937";"RECUPERACIÓN DE CARTERA";"022737";"RECUPERACIÓN DE CARTERA";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020738";"CANCELACIÓN DE RESERVAS";"";"";"";"";"";"";"024304";"RECURSOS DE CAPITAL"
"020739";"REINTEGROS";"021939";"REINTEGROS";"022739";"REINTEGROS";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020740";"SUPERÁVIT FISCAL";"";"";"";"";"";"";"024304";"RECURSOS DE CAPITAL"
"020741";"CRÉDITO INTERNO - NACIÓN";"021941";"CRÉDITO INTERNO - NACIÓN";"022741";"CRÉDITO INTERNO - NACIÓN";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020742";"CRÉDITO INTERNO - OTRAS ENTIDADES DEL SECTOR NO FINANCIERO";"021942";"CRÉDITO INTERNO - OTRAS ENTIDADES DEL SECTOR NO FINANCIERO";"022742";"CRÉDITO INTERNO - OTRAS ENTIDADES DEL SECTOR NO FINANCIERO";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"20743";"RECURSOS DESTINADOS A CUBRIR RESERVAS PRESUPUESTALES VIGENCIA ANTERIOR";"";"";"";"";"";"";"024304";"RECURSOS DE CAPITAL"
"020744";"OTROS RECURSOS DEL BALANCE";"";"";"";"";"";"";"024304";"RECURSOS DE CAPITAL"
"020745";"CRÉDITO EXTERNO - BANCA COMERCIAL";"021945";"CRÉDITO EXTERNO - BANCA COMERCIAL";"022745";"CRÉDITO EXTERNO - BANCA COMERCIAL";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"020790";"OTROS RECURSOS DE CAPITAL";"021990";"OTROS RECURSOS DE CAPITAL";"022790";"OTROS RECURSOS DE CAPITAL";"023104";"RECURSOS DE CAPITAL";"024304";"RECURSOS DE CAPITAL"
"0209";"INGRESOS POR FONDOS ESPECIALES APROBADOS (DB)";"0222";"INGRESOS POR FONDOS ESPECIALES POR EJECUTAR (CR)";"0229";"RECAUDOS EN EFECTIVO POR FONDOS ESPECIALES (CR)";"0231";"EJECUCIÓN EN TÍTULOS, BIENES, COMPENSACIONES Y OTROS  (CR)";"";""
"020902";"CUOTA DE FISCALIZACIÓN Y AUDITAJE";"022202";"CUOTA DE FISCALIZACIÓN Y AUDITAJE";"022902";"CUOTA DE FISCALIZACIÓN Y AUDITAJE";"023106";"FONDOS ESPECIALES";"024306";"FONDOS ESPECIALES"
"020913";"FONDO DE SOLIDARIDAD Y GARANTÍA EN LA SALUD";"022213";"FONDO DE SOLIDARIDAD Y GARANTÍA EN LA SALUD";"022913";"FONDO DE SOLIDARIDAD Y GARANTÍA EN LA SALUD";"023106";"FONDOS ESPECIALES";"024306";"FONDOS ESPECIALES"
"020923";"FONDO SEGURIDAD Y CONVIVENCIA CIUDADANA";"022223";"FONDO SEGURIDAD Y CONVIVENCIA CIUDADANA";"022923";"FONDO SEGURIDAD Y CONVIVENCIA CIUDADANA";"023106";"FONDOS ESPECIALES";"024306";"FONDOS ESPECIALES"
"020940";"FONDO DE PENSIONES FONDO FONPRENOR ";"022240";"FONDO DE PENSIONES FONDO FONPRENOR ";"022940";"FONDO DE PENSIONES FONDO FONPRENOR ";"023106";"FONDOS ESPECIALES";"024306";"FONDOS ESPECIALES"
"020941";"FONDO ESPECIAL CUOTA DE FOMENTO DE GAS NATURAL ";"022241";"FONDO ESPECIAL CUOTA DE FOMENTO DE GAS NATURAL ";"022941";"FONDO ESPECIAL CUOTA DE FOMENTO DE GAS NATURAL ";"023106";"FONDOS ESPECIALES";"024306";"FONDOS ESPECIALES"
"020942";"FONDO ESPECIAL PARA PROGRAMA DE NORMALIZACIÓN DE REDES ELÉCTRICAS -PRONE";"022242";"FONDO ESPECIAL PARA PROGRAMA DE NORMALIZACIÓN DE REDES ELÉCTRICAS - PRONE";"022942";"FONDO ESPECIAL PARA PROGRAMA DE NORMALIZACIÓN DE REDES ELÉCTRICAS - PRONE";"023106";"FONDOS ESPECIALES";"024306";"FONDOS ESPECIALES"
"020991";"OTROS FONDOS ESPECIALES TERRITORIALES";"022291";"OTROS FONDOS ESPECIALES TERRITORIALES";"022991";"OTROS FONDOS ESPECIALES TERRITORIALES";"023106";"FONDOS ESPECIALES";"024306";"FONDOS ESPECIALES"
";"";"";"";"";"";"";"";"";"";"";"";"";"
";"";"";"";"";"";"";"";"";"";"";"";"";"
